Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.3.6-50535-10.0.3.5-5353-17-1776966293891,10.0.3.6,50535,10.0.3.5,5353,17,1776966293.8910246,1e-06,1,0,65,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0,1000000.0,0.0,65,65,65,0.0,0.0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65,0,0,0,0,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.3.6-0-1-1776966293909,10.0.3.5,0,10.0.3.6,0,1,1776966293.9096508,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-42171-10.0.3.5-5353-17-1776966293921,10.0.1.1,42171,10.0.3.5,5353,17,1776966293.9213514,0.04305315017700195,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,4529.285294997176,69.68131223072578,0.021526575088500977,0.001390695571899414,0.02291727066040039,0.020135879516601562,0.04305315017700195,0.021526575088500977,0.001390695571899414,0.02291727066040039,0.020135879516601562,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,69.68131223072578,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.04305315017700195,0.0,0.04305315017700195,0.04305315017700195,0.0,0.0,0.0,0.0,benign
10.0.1.2-42450-10.0.3.5-5353-17-1776966293921,10.0.1.2,42450,10.0.3.5,5353,17,1776966293.921848,0.044786930084228516,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,4353.948788927336,66.98382752195901,0.022393465042114258,0.002297639846801758,0.024691104888916016,0.0200958251953125,0.044786930084228516,0.022393465042114258,0.002297639846801758,0.024691104888916016,0.0200958251953125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,66.98382752195901,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.044786930084228516,0.0,0.044786930084228516,0.044786930084228516,0.0,0.0,0.0,0.0,benign
10.0.3.5-58960-10.0.2.4-5201-6-1776966293980,10.0.3.5,58960,10.0.2.4,5201,6,1776966293.9807844,0.013919353485107422,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,10632.67774314001,143.6848343667569,0.013919353485107422,0.0,0.013919353485107422,0.013919353485107422,0.013919353485107422,0.013919353485107422,0.0,0.013919353485107422,0.013919353485107422,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,143.6848343667569,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.013919353485107422,0.0,0.013919353485107422,0.013919353485107422,0.0,0.0,0.0,0.0,benign
10.0.3.6-46132-10.0.2.4-8080-6-1776966293990,10.0.3.6,46132,10.0.2.4,8080,6,1776966293.9907355,1e-06,1,0,74,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0,1000000.0,0.0,74,74,74,0.0,0.0,0,1,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-0-10.0.2.4-0-1-1776966293991,10.0.1.1,0,10.0.2.4,0,1,1776966293.9911518,0.00787496566772461,2,0,196,0,98,98,98,0.0,0.0,0.0,0.0,0.0,24888.99739630639,253.9693611867999,0.00787496566772461,0.0,0.00787496566772461,0.00787496566772461,0.00787496566772461,0.00787496566772461,0.0,0.00787496566772461,0.00787496566772461,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0,253.9693611867999,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,196,0,0,0,0,2,98,0.00787496566772461,0.0,0.00787496566772461,0.00787496566772461,0.0,0.0,0.0,0.0,benign
10.0.1.1-54416-10.0.2.4-5201-6-1776966293991,10.0.1.1,54416,10.0.2.4,5201,6,1776966293.9915543,0.007777214050292969,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,19029.950705088904,257.1614960147149,0.007777214050292969,0.0,0.007777214050292969,0.007777214050292969,0.007777214050292969,0.007777214050292969,0.0,0.007777214050292969,0.007777214050292969,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,257.1614960147149,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.007777214050292969,0.0,0.007777214050292969,0.007777214050292969,0.0,0.0,0.0,0.0,benign
10.0.1.2-48392-10.0.2.4-5201-6-1776966293993,10.0.1.2,48392,10.0.2.4,5201,6,1776966293.993228,0.006371498107910156,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,23228.446041011826,313.8979194731328,0.006371498107910156,0.0,0.006371498107910156,0.006371498107910156,0.006371498107910156,0.006371498107910156,0.0,0.006371498107910156,0.006371498107910156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,313.8979194731328,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.006371498107910156,0.0,0.006371498107910156,0.006371498107910156,0.0,0.0,0.0,0.0,benign
10.0.1.1-46058-10.0.2.3-80-6-1776966293993,10.0.1.1,46058,10.0.2.3,80,6,1776966293.993769,0.006105899810791016,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,24238.851698555252,327.5520499804764,0.006105899810791016,0.0,0.006105899810791016,0.006105899810791016,0.006105899810791016,0.006105899810791016,0.0,0.006105899810791016,0.006105899810791016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,327.5520499804764,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.006105899810791016,0.0,0.006105899810791016,0.006105899810791016,0.0,0.0,0.0,0.0,benign
