FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,StartTime,Fwd_Header_Len,Bwd_Header_Len,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Tot_Fwd_Bytes,Tot_Bwd_Bytes,Fwd_PktLen_Min,Fwd_PktLen_Mean,Fwd_PktLen_Max,Fwd_PktLen_Std,Bwd_PktLen_Min,Bwd_PktLen_Mean,Bwd_PktLen_Max,Bwd_PktLen_Std,PktLen_Min,PktLen_Mean,PktLen_Max,PktLen_Var,PktLen_Std,Flow_Duration_s,Flow_IAT_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Std,Fwd_IAT_Tot,Fwd_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Std,Bwd_IAT_Tot,Bwd_IAT_Min,Bwd_IAT_Mean,Bwd_IAT_Max,Bwd_IAT_Std,Active_Min,Active_Mean,Active_Max,Active_Std,Idle_Min,Idle_Mean,Idle_Max,Idle_Std,Fwd_PSH,Bwd_PSH,Fwd_URG,Bwd_URG,FIN_Count,SYN_Count,RST_Count,PSH_Count,ACK_Count,URG_Count,CWR_Count,ECE_Count,DownUp_Ratio,Fwd_Seg_Avg,Bwd_Seg_Avg,Fwd_Bulk_Byts_Avg,Fwd_Bulk_Pkts_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bulk_Byts_Avg,Bwd_Bulk_Pkts_Avg,Bwd_Bulk_Rate_Avg,Init_Fwd_Win_Bytes,Init_Bwd_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Flow_Bytes_per_s,Flow_Pkts_per_s,Fwd_Pkts_per_s,Bwd_Pkts_per_s,Subflow_Fwd_Pkts_Avg,Subflow_Fwd_Bytes_Avg,Subflow_Bwd_Pkts_Avg,Subflow_Bwd_Bytes_Avg,TTL_Avg,TTL_Min,TTL_Max,Unique_Src_Ports,Unique_Dst_Ports,Packet_Size_Mode,Packet_Size_Median,First_Payload_Bytes,Label
10.0.2.4-0-10.0.2.3-0-1-1755693084066,10.0.2.4,0,10.0.2.3,0,1,1755693084.066756,215526,0,6339,0,266238,0,42,42,42,0.0,0.0,0.0,0.0,0.0,42,42,42,0,0.0,7.275500297546387,0.0003211498260498047,0.0011479173710234123,0.05619072914123535,0.002318726110355379,7.275500297546387,0.0003211498260498047,0.0011479173710234123,0.05619072914123535,0.002318726110355379,0.0,0.0,0.0,0.0,0.0,7.275500297546387,7.275500297546387,7.275500297546387,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6339,42,36593.7721272291,871.28028874355,871.28028874355,0.0,6339,266238,0,0,64,64,64,1,1,42,42.0,8,0
10.0.3.6-41582-10.0.3.5-5353-17-1755693103758,10.0.3.6,41582,10.0.3.5,5353,17,1755693103.7584352,42,0,1,0,48,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,48,48000000.0,1000000.0,1000000.0,0.0,1,48,0,0,64,64,64,1,1,48,48.0,6,0
10.0.1.1-45174-10.0.2.3-80-6-1755693103783,10.0.1.1,45174,10.0.2.3,80,6,1755693103.7833078,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.029191970825195312,0.005810976028442383,0.014595985412597656,0.02338099479675293,0.008785009384155273,0.029191970825195312,0.005810976028442383,0.014595985412597656,0.02338099479675293,0.008785009384155273,0.0,0.0,0.0,0.0,0.0,0.029191970825195312,0.029191970825195312,0.029191970825195312,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,7604.830839594903,102.76798431885005,102.76798431885005,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.3.5-0-10.0.3.6-0-1-1755693103791,10.0.3.5,0,10.0.3.6,0,1,1755693103.791693,34,0,1,0,76,0,76,76,76,0.0,0.0,0.0,0.0,0.0,76,76,76,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,76,76000000.0,1000000.0,1000000.0,0.0,1,76,0,0,64,64,64,1,1,76,76.0,42,0
10.0.1.2-40691-10.0.3.5-5353-17-1755693103829,10.0.1.2,40691,10.0.3.5,5353,17,1755693103.8292234,126,0,3,0,144,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.012482643127441406,0.0057373046875,0.006241321563720703,0.006745338439941406,0.0005040168762207031,0.012482643127441406,0.0057373046875,0.006241321563720703,0.006745338439941406,0.0005040168762207031,0.0,0.0,0.0,0.0,0.0,0.012482643127441406,0.012482643127441406,0.012482643127441406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,48,11536.018336007335,240.33371533348614,240.33371533348614,0.0,3,144,0,0,64,64,64,1,1,48,48.0,6,0
10.0.1.2-33032-10.0.2.3-80-6-1755693103833,10.0.1.2,33032,10.0.2.3,80,6,1755693103.8335285,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.013152122497558594,0.00642704963684082,0.006576061248779297,0.0067250728607177734,0.00014901161193847656,0.013152122497558594,0.00642704963684082,0.006576061248779297,0.0067250728607177734,0.00014901161193847656,0.0,0.0,0.0,0.0,0.0,0.013152122497558594,0.013152122497558594,0.013152122497558594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,16879.404829236457,228.10006525995215,228.10006525995215,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.3.6-54052-10.0.2.4-8080-6-1755693103842,10.0.3.6,54052,10.0.2.4,8080,6,1755693103.8425722,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.022895336151123047,0.009478569030761719,0.011447668075561523,0.013416767120361328,0.0019690990447998047,0.022895336151123047,0.009478569030761719,0.011447668075561523,0.013416767120361328,0.0019690990447998047,0.0,0.0,0.0,0.0,0.0,0.022895336151123047,0.022895336151123047,0.022895336151123047,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,9696.297906904092,131.03105279600126,131.03105279600126,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.1.1-46561-10.0.3.5-5353-17-1755693103844,10.0.1.1,46561,10.0.3.5,5353,17,1755693103.8448415,126,0,3,0,144,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.021964311599731445,0.010157346725463867,0.010982155799865723,0.011806964874267578,0.0008248090744018555,0.021964311599731445,0.010157346725463867,0.010982155799865723,0.011806964874267578,0.0008248090744018555,0.0,0.0,0.0,0.0,0.0,0.021964311599731445,0.021964311599731445,0.021964311599731445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,48,6556.089834464044,136.58520488466758,136.58520488466758,0.0,3,144,0,0,64,64,64,1,1,48,48.0,6,0
0.0.0.0-53-10.0.2.3-80-17-1755693190013,0.0.0.0,53,10.0.2.3,80,17,1755693190.013888,1218,0,29,0,7018,0,242,242,242,0.0,0.0,0.0,0.0,0.0,242,242,242,0,0.0,14.685872793197632,0.02997875213623047,0.5244954568999154,1.325601577758789,0.4038305013756917,14.685872793197632,0.02997875213623047,0.5244954568999154,1.325601577758789,0.4038305013756917,0.0,0.0,0.0,0.0,0.0,0.0,2.786249577999115,7.095149040222168,2.720366215174643,1.039778709411621,1.1802914937337239,1.325601577758789,0.11673599439441877,0,0,0,0,0,0,0,0,0,0,0,0,0.0,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,242,477.87421958677703,1.9746868577965995,1.9746868577965995,0.0,7.25,1754.5,0,0,64,64,64,1,1,242,242.0,200,0
10.0.3.6-51294-10.0.2.4-8080-6-1755693346438,10.0.3.6,51294,10.0.2.4,8080,6,1755693346.4387531,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.02958059310913086,0.014626264572143555,0.01479029655456543,0.014954328536987305,0.000164031982421875,0.02958059310913086,0.014626264572143555,0.01479029655456543,0.014954328536987305,0.000164031982421875,0.0,0.0,0.0,0.0,0.0,0.02958059310913086,0.02958059310913086,0.02958059310913086,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,7504.920512613847,101.41784476505198,101.41784476505198,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
